Map,ID,Waypoint Type,Weather,Local Time,GMT Time,Time Zone,Latitude,Longitude,Image,Comment,URL
The Way Home,48860,Waypoint,sunny_some_clouds,2011-06-02 16:05:58,2011-06-02 20:05:58,-4.00,43.83452700,-72.79438000,http://trackmytour.com/media/photos/2011/06/03/1307045158x5456.jpg,One of the only moments I saw the sun today.,http://trackmytour.com/6FCHJ#48860
The Way Home,48856,Waypoint,light_rain,2011-06-02 21:27:24,2011-06-03 01:27:24,-4.00,43.94095400,-72.95625700,http://trackmytour.com/media/photos/2011/06/03/1307064444x5456.jpg,"Dear Vermont, 

We despise your mountains.

-the legs",http://trackmytour.com/6FCHJ#48856
The Way Home,48948,Waypoint,sunny,2011-06-03 08:26:22,2011-06-03 12:26:22,-4.00,44.00980500,-73.16291800,,Thanks Clare!,http://trackmytour.com/6FCHJ#48948
The Way Home,49027,Waypoint,sunny,2011-06-03 12:29:20,2011-06-03 16:29:20,-4.00,44.03509600,-73.41919500,,Finally made it to a working ferry crossing. Lots of flooding on lake champlain.,http://trackmytour.com/6FCHJ#49027
The Way Home,49028,Waypoint,sunny,2011-06-03 16:01:58,2011-06-03 20:01:58,-4.00,43.87089300,-73.75076000,,Lots of nice mountains and lakes.,http://trackmytour.com/6FCHJ#49028
The Way Home,49142,Waypoint,sunny,2011-06-03 20:11:45,2011-06-04 00:11:45,-4.00,43.95400900,-74.12871500,,Long night camping. Lots of black flies and a malfunctioning wisperlite .,http://trackmytour.com/6FCHJ#49142
The Way Home,49141,Waypoint,sunny,2011-06-04 12:07:27,2011-06-04 16:07:27,-4.00,43.86928500,-74.43280700,http://trackmytour.com/media/photos/2011/06/04/1307203647x5456.jpg,Adirondack museum,http://trackmytour.com/6FCHJ#49141
The Way Home,49196,Waypoint,sunny,2011-06-04 14:35:56,2011-06-04 18:35:56,-4.00,43.74294800,-74.72607000,http://trackmytour.com/media/photos/2011/06/04/1307212556x5456.jpg,,http://trackmytour.com/6FCHJ#49196
The Way Home,49195,Waypoint,sunny,2011-06-04 16:02:43,2011-06-04 20:02:43,-4.00,43.71254500,-74.96994200,http://trackmytour.com/media/photos/2011/06/04/1307217763x5456.jpg,Lots of hogs on the road today. It was thunder weekend.,http://trackmytour.com/6FCHJ#49195
The Way Home,49216,Waypoint,sunny,2011-06-04 18:56:05,2011-06-04 22:56:05,-4.00,43.54623600,-75.26097100,http://trackmytour.com/media/photos/2011/06/04/1307228165x5456.jpg,New head gear,http://trackmytour.com/6FCHJ#49216
The Way Home,49400,Waypoint,overcast,2011-06-05 08:48:14,2011-06-05 12:48:14,-4.00,43.45790300,-75.44448900,http://trackmytour.com/media/photos/2011/06/05/1307278094x5456.jpg,Does anyone know what these purple boxes are for? I have seen them on trees in VT and NY.,http://trackmytour.com/6FCHJ#49400
The Way Home,49399,Waypoint,overcast,2011-06-05 08:50:11,2011-06-05 12:50:11,-4.00,43.46127600,-75.46230200,http://trackmytour.com/media/photos/2011/06/05/1307278211x5456.jpg,You can find the weirdest stuff on the side of the road.,http://trackmytour.com/6FCHJ#49399
The Way Home,49449,Waypoint,overcast,2011-06-05 11:27:09,2011-06-05 15:27:09,-4.00,43.56919800,-76.08375500,http://trackmytour.com/media/photos/2011/06/05/1307287629x5456.jpg,Saved from being road kill!,http://trackmytour.com/6FCHJ#49449
The Way Home,49401,Waypoint,overcast,2011-06-05 12:06:18,2011-06-05 16:06:18,-4.00,43.57488000,-75.99733800,,,http://trackmytour.com/6FCHJ#49401
The Way Home,49410,Lunch,overcast,2011-06-05 12:55:21,2011-06-05 16:55:21,-4.00,43.55679800,-76.11713600,http://trackmytour.com/media/photos/2011/06/05/1307292921x5456.jpg,Lunch,http://trackmytour.com/6FCHJ#49410
The Way Home,49450,Waypoint,overcast,2011-06-05 16:27:45,2011-06-05 20:27:45,-4.00,43.44890800,-76.45911100,,Easy day. Only 80.,http://trackmytour.com/6FCHJ#49450
The Way Home,49491,Waypoint,sunny,2011-06-05 19:43:13,2011-06-05 23:43:13,-4.00,43.45055200,-76.55610800,http://trackmytour.com/media/photos/2011/06/06/1307317393x5456.jpg,Lake Ontario,http://trackmytour.com/6FCHJ#49491
The Way Home,49494,Waypoint,overcast,2011-06-05 21:58:51,2011-06-06 01:58:51,-4.00,43.45664400,-76.50875100,http://trackmytour.com/media/photos/2011/06/06/1307325531x5456.jpg,Canal locks.....really cool tour.,http://trackmytour.com/6FCHJ#49494
The Way Home,49495,Waypoint,sunny,2011-06-05 22:00:30,2011-06-06 02:00:30,-4.00,43.45641900,-76.50865800,http://trackmytour.com/media/photos/2011/06/06/1307325630x5456.jpg,Sunset on canal lock,http://trackmytour.com/6FCHJ#49495
The Way Home,49533,Waypoint,sunny,2011-06-06 04:54:38,2011-06-06 08:54:38,-4.00,43.44879100,-76.45921000,,Thanks David and Lee Ann!,http://trackmytour.com/6FCHJ#49533
The Way Home,49673,Waypoint,sunny,2011-06-06 05:00:10,2011-06-06 09:00:10,-4.00,43.22187800,-76.76166000,http://trackmytour.com/media/photos/2011/06/07/1307350810x5456.jpg,Sunrise. Best time to bike.,http://trackmytour.com/6FCHJ#49673
The Way Home,49549,Waypoint,sunny,2011-06-06 07:42:26,2011-06-06 11:42:26,-4.00,43.22407900,-76.78304400,http://trackmytour.com/media/photos/2011/06/06/1307360546x5456.jpg,,http://trackmytour.com/6FCHJ#49549
The Way Home,49582,Waypoint,sunny,2011-06-06 11:43:12,2011-06-06 15:43:12,-4.00,43.17547000,-77.51918800,http://trackmytour.com/media/photos/2011/06/06/1307374992x5456.jpg,The solar panel.,http://trackmytour.com/6FCHJ#49582
The Way Home,49606,Waypoint,sunny,2011-06-06 14:32:36,2011-06-06 18:32:36,-4.00,42.91852000,-77.83560200,http://trackmytour.com/media/photos/2011/06/06/1307385156x5456.jpg,Farmland,http://trackmytour.com/6FCHJ#49606
The Way Home,49625,Waypoint,sunny,2011-06-06 15:37:57,2011-06-06 19:37:57,-4.00,42.90735300,-78.05432100,http://trackmytour.com/media/photos/2011/06/06/1307389077x5456.jpg,Getting tired..... Long day.,http://trackmytour.com/6FCHJ#49625
The Way Home,49631,Waypoint,sunny,2011-06-06 15:48:08,2011-06-06 19:48:08,-4.00,42.90724500,-78.05670800,http://trackmytour.com/media/photos/2011/06/06/1307389688x5456.jpg,And a flat :(,http://trackmytour.com/6FCHJ#49631
The Way Home,49657,Waypoint,sunny,2011-06-06 20:36:48,2011-06-07 00:36:48,-4.00,42.76615300,-78.71639800,http://trackmytour.com/media/photos/2011/06/07/1307407008x5456.jpg,A bit far,http://trackmytour.com/6FCHJ#49657
The Way Home,49732,Waypoint,sunny,2011-06-07 13:22:15,2011-06-07 17:22:15,-4.00,42.76627000,-78.71662300,http://trackmytour.com/media/photos/2011/06/07/1307467335x5456.jpg,New tires,http://trackmytour.com/6FCHJ#49732
The Way Home,49751,Waypoint,sunny,2011-06-07 15:13:07,2011-06-07 19:13:07,-4.00,42.90867400,-78.91735700,http://trackmytour.com/media/photos/2011/06/07/1307473987x5456.jpg,Canada!,http://trackmytour.com/6FCHJ#49751
The Way Home,49759,Scenic,sunny,2011-06-07 17:00:06,2011-06-07 21:00:06,-4.00,43.07767700,-79.07932400,http://trackmytour.com/media/photos/2011/06/07/1307480406x5456.jpg,Niagara falls,http://trackmytour.com/6FCHJ#49759
The Way Home,49774,Waypoint,sunny,2011-06-07 18:17:13,2011-06-07 22:17:13,-4.00,42.90688000,-78.90605000,http://trackmytour.com/media/photos/2011/06/08/1307485033x5456.jpg,The border,http://trackmytour.com/6FCHJ#49774
The Way Home,49779,Waypoint,sunny,2011-06-07 20:02:30,2011-06-08 00:02:30,-4.00,42.76659000,-78.71672000,,"You know you are biking across the country when........ You do 72 miles on your ""off day""",http://trackmytour.com/6FCHJ#49779
The Way Home,49814,Waypoint,sunny,2011-06-08 08:51:19,2011-06-08 12:51:19,-4.00,42.76636800,-78.71662800,,Thank you the Vogans!,http://trackmytour.com/6FCHJ#49814
The Way Home,49899,Waypoint,sunny,2011-06-08 19:01:15,2011-06-08 23:01:15,-4.00,42.26758200,-79.76199600,http://trackmytour.com/media/photos/2011/06/08/1307574075x5456.jpg,Pennsylvania,http://trackmytour.com/6FCHJ#49899
The Way Home,49943,Lodging,sunny,2011-06-08 23:48:56,2011-06-09 03:48:56,-4.00,42.06257900,-80.15601600,,Tough day. Pretty hot and high winds. I ended up riding directly into the winds for most of the day. My fingers are numb from riding in the drops. I am at a warm showers site for the night.,http://trackmytour.com/6FCHJ#49943
The Way Home,49997,Waypoint,sunny,2011-06-09 09:58:28,2011-06-09 13:58:28,-4.00,41.94410400,-80.51948700,http://trackmytour.com/media/photos/2011/06/09/1307627908x5456.jpg,Now entering Ohio. Time to turn south. Jumping from the northern tier route to the underground railroad route.,http://trackmytour.com/6FCHJ#49997
The Way Home,50025,Waypoint,sunny,2011-06-09 12:43:52,2011-06-09 16:43:52,-4.00,41.81337900,-80.82741300,http://trackmytour.com/media/photos/2011/06/09/1307637832x5456.jpg,30 miles of greenway all to myself. It does not get any better than this.,http://trackmytour.com/6FCHJ#50025
The Way Home,50066,Waypoint,sunny,2011-06-09 14:21:20,2011-06-09 18:21:20,-4.00,41.63503200,-80.88832500,,Just was chased by 8 dogs. Sprinting is not fun on a loaded bike.,http://trackmytour.com/6FCHJ#50066
The Way Home,50072,Waypoint,sunny,2011-06-09 15:34:18,2011-06-09 19:34:18,-4.00,41.50865000,-80.94845500,http://trackmytour.com/media/photos/2011/06/09/1307648058x5456.jpg,Amish country,http://trackmytour.com/6FCHJ#50072
The Way Home,50081,Waypoint,sunny,2011-06-09 16:22:08,2011-06-09 20:22:08,-4.00,41.45877200,-81.00494900,http://trackmytour.com/media/photos/2011/06/09/1307650928x5456.jpg,Share the road,http://trackmytour.com/6FCHJ#50081
The Way Home,50097,Waypoint,sunny,2011-06-09 18:27:26,2011-06-09 22:27:26,-4.00,41.30866200,-81.20552500,http://trackmytour.com/media/photos/2011/06/10/1307658446x5456.jpg,,http://trackmytour.com/6FCHJ#50097
The Way Home,50131,Waypoint,sunny,2011-06-09 23:26:18,2011-06-10 03:26:18,-4.00,41.21777700,-81.31513100,http://trackmytour.com/media/photos/2011/06/10/1307676378x5456.jpg,Great day today. I had no idea northeastern Ohio was so nice. Lots of rolling hills and farmlands.,http://trackmytour.com/6FCHJ#50131
The Way Home,50172,Waypoint,sunny,2011-06-10 07:12:01,2011-06-10 11:12:01,-4.00,41.06735500,-81.49231600,,"Thanks Liz, Scott and family!",http://trackmytour.com/6FCHJ#50172
The Way Home,50168,Waypoint,sunny,2011-06-10 09:46:01,2011-06-10 13:46:01,-4.00,40.98062900,-81.69789700,,"Just passed the 1,000 mile mark (plus or minus a few)",http://trackmytour.com/6FCHJ#50168
The Way Home,50184,Waypoint,light_rain,2011-06-10 11:13:55,2011-06-10 15:13:55,-4.00,40.82899200,-81.90910100,,And here comes the rain.....,http://trackmytour.com/6FCHJ#50184
The Way Home,50205,Waypoint,overcast,2011-06-10 13:14:21,2011-06-10 17:14:21,-4.00,40.70485700,-82.09365400,http://trackmytour.com/media/photos/2011/06/10/1307726061x5456.jpg,Not too happy to find this in my brand new tires.,http://trackmytour.com/6FCHJ#50205
The Way Home,50231,Waypoint,overcast,2011-06-10 14:49:26,2011-06-10 18:49:26,-4.00,40.63502400,-82.23430100,http://trackmytour.com/media/photos/2011/06/10/1307731766x5456.jpg,As I was changing my tire I noticed that I was missing on of the bolts that attaches the rack to the frame. It explains why I had been feeling slightly wobbly all morning. I made an impromptu fix with a zip tie. I stopped at the next bike store and got a replacement ( thank you Kim's bikes for not changing me anything).,http://trackmytour.com/6FCHJ#50231
The Way Home,50237,Waypoint,sunny,2011-06-10 15:26:23,2011-06-10 19:26:23,-4.00,40.55921100,-82.27624900,http://trackmytour.com/media/photos/2011/06/10/1307733983x5456.jpg,Turning into quite the nice day,http://trackmytour.com/6FCHJ#50237
The Way Home,50334,Waypoint,light_rain,2011-06-11 08:07:48,2011-06-11 12:07:48,-4.00,40.05300000,-82.87855300,,Thank you the Tong family.,http://trackmytour.com/6FCHJ#50334
The Way Home,50404,Waypoint,sunny,2011-06-11 15:24:45,2011-06-11 19:24:45,-4.00,39.88984000,-83.31427100,http://trackmytour.com/media/photos/2011/06/11/1307820285x5456.jpg,Best part of empty bike paths? No one to judge you for biking without a shirt. Got to get rid of the jersey tan lines.,http://trackmytour.com/6FCHJ#50404
The Way Home,50474,Waypoint,sunny,2011-06-11 15:30:05,2011-06-11 19:30:05,-4.00,39.88543700,-83.44701400,,"I bought a new battery for my odometer. It has been acting funny the last few days. I also stopped at a really neat coffeehouse in London, Ohio. It was called the coffee peddlers and had a bike touring theme.",http://trackmytour.com/6FCHJ#50474
The Way Home,50477,Waypoint,sunny,2011-06-11 16:47:59,2011-06-11 20:47:59,-4.00,39.83472500,-83.58377200,http://trackmytour.com/media/photos/2011/06/12/1307825279x5456.jpg,Strawberries on the go? I rode past a fundraiser for the trail system and they had a bunch of leftover food that they were kind enough to share with me. The biking in this area is so great-the trail system is amazing.,http://trackmytour.com/6FCHJ#50477
The Way Home,50561,Waypoint,night_clear,2011-06-11 23:39:37,2011-06-12 03:39:37,-4.00,39.80853600,-83.88473500,,Great night of sleep in a backyard with lots of stars and fireflies.,http://trackmytour.com/6FCHJ#50561
The Way Home,50562,Waypoint,sunny,2011-06-12 12:40:10,2011-06-12 16:40:10,-4.00,39.68021800,-83.93113700,http://trackmytour.com/media/photos/2011/06/12/1307896810x5456.jpg,I put my yellow jersey on the top of my paniers to dry and somehow it fell off. I back tracked for 15 miles but it was no where to be found.,http://trackmytour.com/6FCHJ#50562
The Way Home,50599,Waypoint,sunny,2011-06-12 14:12:30,2011-06-12 18:12:30,-4.00,39.52473300,-84.08021000,http://trackmytour.com/media/photos/2011/06/12/1307902350x5456.jpg,Bike inspired ice cream. This area is great for biking. Lots of people out on the paths enjoying the nice day.,http://trackmytour.com/6FCHJ#50599
The Way Home,50653,Waypoint,sunny,2011-06-12 18:06:25,2011-06-12 22:06:25,-4.00,39.14009500,-84.34121000,http://trackmytour.com/media/photos/2011/06/12/1307916385x5456.jpg,End of the rails to trails. I have been really impressed with Ohio's bike system.,http://trackmytour.com/6FCHJ#50653
The Way Home,50666,Waypoint,night_clear,2011-06-12 20:53:40,2011-06-13 00:53:40,-4.00,39.15554500,-84.23480700,http://trackmytour.com/media/photos/2011/06/13/1307926420x5456.jpg,My campsite......,http://trackmytour.com/6FCHJ#50666
The Way Home,50775,Waypoint,sunny,2011-06-13 14:10:28,2011-06-13 18:10:28,-4.00,38.64690800,-83.76525900,http://trackmytour.com/media/photos/2011/06/13/1307988628x5456.jpg,I just crossed into Kentucky,http://trackmytour.com/6FCHJ#50775
The Way Home,50917,Waypoint,sunny,2011-06-13 22:24:36,2011-06-14 02:24:36,-4.00,38.71498300,-84.29878200,http://trackmytour.com/media/photos/2011/06/14/1308018276x5456.jpg,It was mentally challenging heading east for most the morning. There are very few bikable bridges across the Ohio river and I was forced to head back east for a little bit. Lots of short nasty hills once I was in Kentucky. I ran into a few issues with food availability.... I could not find a grocery store anywhere I was passing through. It is hard to find any food you want to eat at gas stations.,http://trackmytour.com/6FCHJ#50917
The Way Home,50975,Waypoint,sunny,2011-06-14 14:21:10,2011-06-14 18:21:10,-4.00,38.65302600,-84.94600900,,Dealing with two issues today: leg cramps and really bad road signs.,http://trackmytour.com/6FCHJ#50975
The Way Home,51001,Waypoint,sunny,2011-06-14 19:35:24,2011-06-14 23:35:24,-4.00,38.68317900,-85.18683200,http://trackmytour.com/media/photos/2011/06/14/1308094524x5456.jpg,I am spending the night at point park.... Nice view of the river.,http://trackmytour.com/6FCHJ#51001
The Way Home,51008,Lodging,sunny,2011-06-14 20:51:15,2011-06-15 00:51:15,-4.00,38.68317000,-85.18692000,http://trackmytour.com/media/photos/2011/06/15/1308099075x5456.jpg,"A good end to a rather painful day. My left quad is still hurting..... I think it was a combination of poor food and lack of water in the morning that led to the cramping issues. I am surprised how little there is in these small towns in Kentucky, even the corner stores are out of business. I took some long breaks today and meet some nice people. Two ten year olds on bmx bikes tried to get me to race them around the block.....I lost. I stopped short today (70 miles) to hopefully give my legs a bit of a rest. I am staying at the town park (with the permission of the town police) which is on the Kentucky river and had a really nice sunset.",http://trackmytour.com/6FCHJ#51008
The Way Home,51079,Waypoint,light_rain,2011-06-15 08:28:07,2011-06-15 12:28:07,-4.00,38.73036800,-85.37016400,http://trackmytour.com/media/photos/2011/06/15/1308140887x5456.jpg,Indiana..... It is going to be a wet morning. A thunderstorm is rolling in.,http://trackmytour.com/6FCHJ#51079
The Way Home,51080,Breakfast,light_rain,2011-06-15 08:36:31,2011-06-15 12:36:31,-4.00,38.73640400,-85.38026400,http://trackmytour.com/media/photos/2011/06/15/1308141391x5456.jpg,Breakfast. Coffee and blueberry muffin......all that I am missing is the cheerios.,http://trackmytour.com/6FCHJ#51080
The Way Home,51096,Waypoint,thunder,2011-06-15 11:11:37,2011-06-15 15:11:37,-4.00,38.70855800,-85.47466400,,Really bad lighting storm all day. I am hiding inside. Hopefully it will clear up a little in the afternoon so I can dash to Louisville.,http://trackmytour.com/6FCHJ#51096
The Way Home,51166,Waypoint,sunny,2011-06-15 15:47:25,2011-06-15 19:47:25,-4.00,38.36210000,-85.69657000,,The people I was trying to stay with in Louisville fell through at the last minute. I decided to just continue west. It is getting sunny and super humid.,http://trackmytour.com/6FCHJ#51166
The Way Home,51164,Scenic,sunny,2011-06-15 17:40:43,2011-06-15 21:40:43,-4.00,38.20921000,-85.91211000,http://trackmytour.com/media/photos/2011/06/15/1308174043x5456.jpg,Blunk knob = one of best climbs of trip. 4 straight miles of tight s-curves climbing on a narrow road through really beautiful woods. Can't wait for the downhill. I wish there was someway to track total elevation.,http://trackmytour.com/6FCHJ#51164
The Way Home,51182,Waypoint,thunder,2011-06-15 20:40:41,2011-06-16 00:40:41,-4.00,38.08233600,-86.01593900,http://trackmytour.com/media/photos/2011/06/16/1308184841x5456.jpg,Mi casa.,http://trackmytour.com/6FCHJ#51182
The Way Home,51310,Waypoint,sunny,2011-06-16 13:40:15,2011-06-16 18:40:15,-5.00,37.88132600,-86.19742600,,"Interesting that you can pass into a new time zone and not realize it for two days.

Super windy and hot today.",http://trackmytour.com/6FCHJ#51310
The Way Home,51322,Waypoint,sunny,2011-06-16 14:21:05,2011-06-16 19:21:05,-5.00,37.76283900,-86.44134600,http://trackmytour.com/media/photos/2011/06/16/1308252065x5456.jpg,The ice pack.,http://trackmytour.com/6FCHJ#51322
The Way Home,51345,Waypoint,sunny,2011-06-16 16:22:28,2011-06-16 21:22:28,-5.00,37.63608700,-86.71752500,http://trackmytour.com/media/photos/2011/06/16/1308259348x5456.jpg,Joining up with the transAmerica cycling route. Going to follow it until Colorado. It is a popular way to cross the US and I am excited to meet some other cyclists.,http://trackmytour.com/6FCHJ#51345
The Way Home,51354,Waypoint,thunder,2011-06-16 18:30:43,2011-06-16 23:30:43,-5.00,37.61824700,-86.94526100,http://trackmytour.com/media/photos/2011/06/16/1308267043x5456.jpg,The coolest thunderclouds. Just had five minutes of intense rain and wind and then it was over.,http://trackmytour.com/6FCHJ#51354
The Way Home,51366,Camp,night_some_clouds,2011-06-16 19:56:09,2011-06-17 00:56:09,-5.00,37.60199400,-87.13048500,http://trackmytour.com/media/photos/2011/06/17/1308272169x5456.jpg,My view for the night,http://trackmytour.com/6FCHJ#51366
The Way Home,51441,Waypoint,sunny,2011-06-17 06:07:54,2011-06-17 11:07:54,-5.00,37.60183100,-87.13035800,http://trackmytour.com/media/photos/2011/06/17/1308308874x5456.jpg,"A bit of a stressful night. Another thunderstorm rolled in around midnight. I had to quickly set up the tent. Even so, this was one of the best spots I have ever camped at: I saw a great moonrise over the hills last night and was woken up to a bight sunrise. It looks like it is going to be a nice day.",http://trackmytour.com/6FCHJ#51441
The Way Home,51490,Waypoint,sunny,2011-06-17 11:06:46,2011-06-17 16:06:46,-5.00,37.51782800,-87.69082300,http://trackmytour.com/media/photos/2011/06/17/1308326806x5456.jpg,,http://trackmytour.com/6FCHJ#51490
The Way Home,51540,Waypoint,thunder,2011-06-17 16:31:08,2011-06-17 21:31:08,-5.00,37.33415300,-88.08146100,http://trackmytour.com/media/photos/2011/06/17/1308346268x5456.jpg,Hiding from another thunderstorm at mcdonalds. Mediocre food but great free wireless.,http://trackmytour.com/6FCHJ#51540
The Way Home,51555,Waypoint,overcast,2011-06-17 17:38:44,2011-06-17 22:38:44,-5.00,37.46881200,-88.16595900,http://trackmytour.com/media/photos/2011/06/17/1308350324x5456.jpg,Ferry crossing to Illinois.,http://trackmytour.com/6FCHJ#51555
The Way Home,51580,Camp,night_some_clouds,2011-06-17 21:38:20,2011-06-18 02:38:20,-5.00,37.43258100,-88.51512300,http://trackmytour.com/media/photos/2011/06/18/1308364700x5456.jpg,,http://trackmytour.com/6FCHJ#51580
The Way Home,51623,Waypoint,thunder,2011-06-18 06:51:35,2011-06-18 11:51:35,-5.00,37.43272700,-88.51497400,,Marble sized hail is quite loud when it hits the tent,http://trackmytour.com/6FCHJ#51623
The Way Home,51663,Waypoint,thunder,2011-06-18 10:30:51,2011-06-18 15:30:51,-5.00,37.43288700,-88.51511500,http://trackmytour.com/media/photos/2011/06/18/1308411051x5456.jpg,It is still raining/thundering really hard. I have stayed put for the morning. It is silly to go out and be miserable and wet on the bike when I am (relatively) dry. It is ridiculous how many storms this area has had in the last few days.,http://trackmytour.com/6FCHJ#51663
The Way Home,51742,Waypoint,sunny,2011-06-18 16:39:29,2011-06-18 21:39:29,-5.00,37.60072000,-88.97938400,http://trackmytour.com/media/photos/2011/06/18/1308433169x5456.jpg,I should find a bike shop,http://trackmytour.com/6FCHJ#51742
The Way Home,51770,Camp,night_some_clouds,2011-06-18 21:31:08,2011-06-19 02:31:08,-5.00,37.72583000,-89.46203800,,Not the best camp.... It is pretty buggy.,http://trackmytour.com/6FCHJ#51770
The Way Home,51887,Waypoint,sunny,2011-06-19 10:13:53,2011-06-19 15:13:53,-5.00,37.83798800,-89.70027900,http://trackmytour.com/media/photos/2011/06/19/1308496433x5456.jpg,I need a shower.,http://trackmytour.com/6FCHJ#51887
The Way Home,51886,Waypoint,sunny,2011-06-19 11:35:08,2011-06-19 16:35:08,-5.00,37.91202800,-89.82376700,http://trackmytour.com/media/photos/2011/06/19/1308501308x5456.jpg,The home town of popeye.,http://trackmytour.com/6FCHJ#51886
The Way Home,51902,Waypoint,sunny,2011-06-19 12:41:07,2011-06-19 17:41:07,-5.00,37.90278200,-89.83661000,http://trackmytour.com/media/photos/2011/06/19/1308505267x5456.jpg,Crossing the Mississippi river.,http://trackmytour.com/6FCHJ#51902
The Way Home,51903,Waypoint,sunny,2011-06-19 12:57:45,2011-06-19 17:57:45,-5.00,37.89301700,-89.84204200,http://trackmytour.com/media/photos/2011/06/19/1308506265x5456.jpg,Missouri!,http://trackmytour.com/6FCHJ#51903
